text,key,tweet.user.screen_name,Other,user.location,created_at
"The Firearm Act, 2022 outlines the penalties of: 

•Trafficking a prohibited weapon
•Being in possession of prohibi… https://t.co/iWR1xpuhp4",KJ1F9EL84PNZEY77CLT7J75FQ,AndrewHolnessJM,EJZN9F7MMJ1OS4GAH4R7HI8QR,Jamaica,2022-11-07 11:18:49+00:00
•Restriction on the manufacture of firearms or ammunition not in accordance with a Firearms Manufacturer’s License.… https://t.co/807pANoIWv,0ZE4OQAW4X5II79GYJXVVUTQE,AndrewHolnessJM,ESPR71WHN62M2IMR4LIBTFXDM,Jamaica,2022-11-06 15:17:59+00:00
"The Firearm Act, 2022 outlines facts about licensed firearms. You can be penalized for: 

•Trafficking in firearms… https://t.co/UMf2EgKd2N",U4UKDOVVZSZD0E957SX4HHFKH,AndrewHolnessJM,HG3IZ9SLE9Z3O978UHUZRDS7J,Jamaica,2022-11-06 15:17:57+00:00
Imagine hearing the sound of a prison cell closing in on you for the next 25 years or for the rest of your life?… https://t.co/c5xkVrEnbm,MXGAQY55UFM6Q6KIKNOMAHTKE,AndrewHolnessJM,Y99A2QCKXX9AOCNX78LJ270NJ,Jamaica,2022-11-05 15:08:48+00:00
Persons in possession of licensed firearms or ammunition without appropriate authorization are to surrender these w… https://t.co/Wl6l2hx9Vn,9Q8FS826MGO59828O735C7WHM,AndrewHolnessJM,TZRWMNBKKJCEDOYNIFI046KBU,Jamaica,2022-11-04 22:47:04+00:00
"The Gun Amnesty takes effect tomorrow, November 5, 2022 until Saturday, November 19, 2022. 

Persons in possession… https://t.co/e9clUHtHmM",QMBZ7V3TQ52KRM80RIBHZF5AD,AndrewHolnessJM,4C417DEC4GLQCHPKVPBIIIWGZ,Jamaica,2022-11-04 22:47:03+00:00
(2/2) Just yesterday Senator the Hon. Matthew Samuda commissioned into service the New Building Water Supply System… https://t.co/IN7MhUzKY4,E6EWJECVZ4514MXIUKYYD7U4K,AndrewHolnessJM,0B2WBBI82A5167IOGXGWJXWW5,Jamaica,2022-11-04 21:07:04+00:00
(1/2) We are turning on pipes in scores of communities across the country bringing the precious commodity to many w… https://t.co/Q98BZ6Vilj,PML21MV5QZMF2BFP8P4C87TAP,AndrewHolnessJM,2H30G6TR5F5FMQA0LT9K267B5,Jamaica,2022-11-04 21:07:02+00:00
"… sector presentations, networking opportunities and site visits.",A5PUR7389KZ5XYYOCSV9HCWSI,AndrewHolnessJM,G46Y5MVY8WJDUKFDLJ9OCYKWY,Jamaica,2022-11-04 17:56:59+00:00
"Being held at the Montego Bay Convention Centre from November 29 – 30, the forum will showcase Jamaica’s investment… https://t.co/Hxl1iRCnWy",2ZF98B375TS2OH5ZSRJTGDJE2,AndrewHolnessJM,N4QKCZSD2T9VVCMGRRFLMEEKF,Jamaica,2022-11-04 17:56:58+00:00
"The JAMPRO “Invest Jamaica 2022” conference is here. 🇯🇲

Register at https://t.co/IAZEmBDR6w

#miic… https://t.co/oDmFxnYmmU",YITAVZAENLCNYAX8B0OHLLVNB,AndrewHolnessJM,B76MM5NECJBR7QUA0OROVE8S0,Jamaica,2022-11-04 17:56:57+00:00
"HEART was the answer to Mr. Seaga's passionate mission to find a way to reduce unemployment, particularly among the… https://t.co/Sz36ZHCMG1",7PDVJNQCRUVPSUD7HQ4LZ94T4,AndrewHolnessJM,JIMJIFHFX6YJREDX7ZK8G624V,Jamaica,2022-11-04 13:46:20+00:00
It was therefore a great privilege to deliver my address on the life of Mr Seaga at the Inaugural Edward Seaga Huma… https://t.co/gUGPF46Qex,CQR03NQ0TBSG68Z4HC2KYICBN,AndrewHolnessJM,59AJ2HSGCRF74OK1T9MJV08AY,Jamaica,2022-11-04 13:46:19+00:00
He was committed to building lasting institutions which Jamaica continues to reap significant benefits from even to… https://t.co/wImMYVwoFY,T3K439M7XS7QAEH6F77GSRC9Q,AndrewHolnessJM,WZ1GJZN76QLTP8BEXZQADK551,Jamaica,2022-11-04 13:46:16+00:00
The Most Honourable Edward Seaga had a heart for the people. He dedicated the entirety of his life to serving Jamai… https://t.co/ZPgQNtP5Ci,74NZP0CJDT8UJPUBA2OH4A716,AndrewHolnessJM,Q4YUBXKPYT8HAZAAIDEX913U0,Jamaica,2022-11-04 13:46:13+00:00
